industry,total_funding,country,region,city,funding_rounds,company_age
23072,-0.06309397261945524,122,983,3690,-0.5818800097797329,0.4617014152670726
1213,-0.08661637338662118,110,874,3700,-0.5818800097797329,-0.508686416712963
22613,-0.06416317265432642,118,905,3792,-0.5818800097797329,-0.31460885031695585
17191,-0.08180497322970087,122,816,3421,0.10539657560366476,0.5587401984650762
22727,-0.08704405340056964,122,572,2258,-0.5818800097797329,-0.4116476335149594
18468,-0.05668307059436835,44,46,161,-0.5818800097797329,-0.6057251999109665
18075,0.0682517506302897,122,788,3379,0.7926731609870624,0.2676238488710655
7440,0.08451849580881772,122,788,481,2.1672263317538576,-0.4116476335149594
388,-0.04129993905465874,122,663,2655,0.10539657560366476,-0.31460885031695585
17066,0.01976903008306114,122,788,3745,-0.5818800097797329,0.4617014152670726
11497,-0.06770375907180005,122,788,3379,0.7926731609870624,-0.4116476335149594
17809,-0.08704405340056964,52,70,229,-0.5818800097797329,-0.4116476335149594
5051,-0.08688367339533898,122,788,3379,-0.5818800097797329,-0.02349250072294517
17871,-0.08688367339533898,122,539,4272,-0.5818800097797329,-0.21757006711895227
502,-0.0850125733343144,122,539,2196,-0.5818800097797329,-0.21757006711895227
21566,-0.07017954521254602,21,79,272,-0.5818800097797329,-0.21757006711895227
23237,-0.0871349354035337,122,244,988,-0.5818800097797329,-0.508686416712963
7779,-0.07645897305534498,122,601,2406,-0.5818800097797329,-0.6057251999109665
23072,-0.07645897305534498,101,623,2531,-0.5818800097797329,-0.31460885031695585
14958,-0.07645897305534498,18,621,2507,-0.5818800097797329,-0.6057251999109665
23203,-0.029948771538448687,122,663,2655,-0.5818800097797329,-0.4116476335149594
23072,-0.06266629260550677,122,416,3841,-0.5818800097797329,-0.31460885031695585
17281,-0.07645897305534498,122,299,308,-0.5818800097797329,-0.21757006711895227
12732,-0.08709751340231321,122,788,3379,-0.5818800097797329,-0.12053128392094872
22638,-0.08546698334913466,28,227,40,-0.5818800097797329,3.1787873448111723
