industry,total_funding,status,country,region,city,funding_rounds,company_age
110,-0.08586793336221135,3,122,827,3482,0.10539657560366476,-0.508686416712963
14921,0.44210304385717686,3,122,809,3378,1.4799497463704598,-0.12053128392094872
19158,-0.0809068184704082,3,38,293,670,-0.5818800097797329,-0.6057251999109665
23072,-0.08228643400540336,3,122,605,2450,0.7926731609870624,-0.21757006711895227
23072,0.8189960561492675,2,122,786,3236,0.7926731609870624,2.111360729633133
19158,-0.08634907337790339,3,122,247,107,-0.5818800097797329,-0.12053128392094872
19331,0.0005234241093797421,3,53,260,1043,-0.5818800097797329,0.36466263206906907
14958,-0.0850125733343144,3,122,788,3180,-0.5818800097797329,-0.12053128392094872
23194,-0.07645897305534498,0,10,850,3588,-0.5818800097797329,-0.12053128392094872
14958,-0.0804684731861119,3,122,321,2053,-0.5818800097797329,1.043934114455094
199,-0.07710049307626768,3,122,385,2638,1.4799497463704598,-0.4116476335149594
51,-0.0810030732035475,3,122,539,1129,0.10539657560366476,-0.6057251999109665
5817,-0.07645897305534498,3,122,194,734,-0.5818800097797329,-0.508686416712963
23072,-0.0860697446998513,1,122,788,3379,-0.5818800097797329,-0.6057251999109665
23072,-0.0860697446998513,3,19,145,4219,-0.5818800097797329,-0.6057251999109665
147,-0.07287715293852652,3,101,756,2410,0.10539657560366476,-0.31460885031695585
56,-0.08431759331164815,3,122,788,3379,-0.5818800097797329,-0.4116476335149594
13,-0.08699059339882609,3,60,37,90,-0.5818800097797329,-0.6057251999109665
18930,-0.08323735913241709,3,122,788,3379,-0.5818800097797329,0.6557789816630797
22501,-0.0871349354035337,3,122,664,697,-0.5818800097797329,-0.31460885031695585
12403,-0.08605529997632218,1,122,788,3379,-0.5818800097797329,-0.508686416712963
100,-0.08597485336569848,3,122,788,3379,-0.5818800097797329,-0.508686416712963
200,-0.07611148304401184,3,52,70,229,0.10539657560366476,0.17058506567306195
18378,-0.08640253337964694,3,122,730,3474,-0.5818800097797329,-0.6057251999109665
5806,-0.07973339816213797,3,122,663,2655,0.10539657560366476,-0.12053128392094872
8145,-0.07645897305534498,3,53,260,1043,-0.5818800097797329,-0.508686416712963
3644,-0.07806277310765175,3,50,135,520,0.10539657560366476,-0.12053128392094872
23072,-0.07512247835775618,0,122,788,3379,0.10539657560366476,-0.4116476335149594
21996,0.01976903008306114,3,122,827,3482,-0.5818800097797329,0.4617014152670726
21566,-0.08316186826395501,3,21,79,272,0.10539657560366476,0.2676238488710655
22888,-0.01386720111396,1,21,359,1502,0.7926731609870624,0.17058506567306195
21537,-0.06576697270663319,3,122,788,3379,-0.5818800097797329,0.2676238488710655
23072,-0.07645897305534498,3,122,299,1241,-0.5818800097797329,0.07354628247505839
23283,0.2603390379290764,0,122,788,3423,0.7926731609870624,0.36466263206906907
3787,-0.07913197314252292,0,122,788,3379,-0.5818800097797329,-0.21757006711895227
23293,-0.08447797331687881,3,39,537,2178,0.10539657560366476,-0.6057251999109665
10010,0.7040570524006158,0,122,788,1325,0.7926731609870624,0.8498565480590868
11280,0.05141735111524804,3,122,983,1209,1.4799497463704598,0.17058506567306195
23072,0.006404029647171401,3,122,539,2290,-0.5818800097797329,0.17058506567306195
23072,-0.08174295428167817,3,122,114,570,0.7926731609870624,0.07354628247505839
23072,-0.07645897305534498,3,122,788,3379,-0.5818800097797329,-0.02349250072294517
13551,-0.07913197314252292,3,21,788,3379,0.10539657560366476,-0.21757006711895227
21566,-0.07969731266096106,3,38,669,2534,-0.5818800097797329,0.2676238488710655
14367,-0.06042097253227729,3,122,788,3379,0.10539657560366476,0.07354628247505839
7337,-0.049392110020578986,3,122,788,3379,1.4799497463704598,-0.31460885031695585
4015,-0.07645897305534498,3,122,53,179,-0.5818800097797329,-0.02349250072294517
22463,-0.017652971137430126,3,122,728,2278,-0.5818800097797329,3.566942477603187
11174,-0.07645897305534498,3,122,788,3379,0.10539657560366476,-0.4116476335149594
9223,-0.006145630918126622,3,39,788,3379,-0.5818800097797329,0.07354628247505839
23072,-0.07822315311288242,3,122,788,3423,-0.5818800097797329,-0.508686416712963
9223,-0.006960970788718337,0,122,827,3482,0.7926731609870624,0.8498565480590868
23072,-0.08569686135663196,1,53,419,163,-0.5818800097797329,0.4617014152670726
12358,0.1852752967655834,0,53,102,371,0.10539657560366476,0.36466263206906907
22865,0.25802525697761414,3,122,788,3379,3.5417795025206527,0.5587401984650762
18601,-0.06900704976230594,3,122,213,836,0.10539657560366476,0.07354628247505839
21982,-0.07645897305534498,3,122,149,4316,-0.5818800097797329,-0.508686416712963
14958,-0.07445433525596518,3,122,975,3692,2.854502917137255,-0.12053128392094872
22151,-0.08714562740388242,3,17,60,3155,-0.5818800097797329,-0.508686416712963
16808,-0.05375557951489036,3,122,788,3379,0.10539657560366476,1.043934114455094
21166,-0.08671794738993394,3,122,809,3378,-0.5818800097797329,-0.6057251999109665
12529,-0.08153767322098308,3,122,48,164,0.7926731609870624,-0.02349250072294517
21492,-0.08314147327328984,3,122,68,225,-0.5818800097797329,-0.21757006711895227
22865,0.1163422244527254,0,122,788,3382,1.4799497463704598,0.36466263206906907
16808,-0.07645897305534498,3,122,788,3379,0.10539657560366476,-0.508686416712963
23072,-0.08180497322970087,3,122,48,3928,-0.5818800097797329,0.36466263206906907
23072,-0.08180497322970087,3,122,827,4271,-0.5818800097797329,0.17058506567306195
10638,0.005869429629735812,3,122,788,3379,1.4799497463704598,-0.31460885031695585
830,-0.07645897305534498,3,19,1024,4360,0.10539657560366476,-0.31460885031695585
22301,-0.08447797331687881,1,122,788,3379,-0.5818800097797329,-0.70276398310897
8543,-0.07645897305534498,3,122,827,3482,-0.5818800097797329,0.36466263206906907
12388,-0.08474527332559662,3,122,558,1991,-0.5818800097797329,-0.70276398310897
20743,-0.08455366602316741,3,110,874,3982,0.10539657560366476,-0.31460885031695585
7337,0.17831535190793374,3,122,114,4112,2.1672263317538576,-0.31460885031695585
23278,-0.07645897305534498,3,122,48,1029,-0.5818800097797329,-0.6057251999109665
17373,-0.08474527332559662,3,122,538,3579,-0.5818800097797329,1.6261668136431153
23072,-0.07645897305534498,1,122,788,3382,-0.5818800097797329,0.17058506567306195
2352,-0.07645897305534498,3,122,194,734,-0.5818800097797329,-0.31460885031695585
9223,-0.08703924200041273,3,122,631,847,-0.5818800097797329,0.2676238488710655
7337,-0.04972899891356637,3,122,788,1149,-0.5818800097797329,-0.508686416712963
7337,-0.08447797331687881,3,18,372,1543,-0.5818800097797329,-0.02349250072294517
21566,-0.06908697246491255,0,122,983,1627,-0.5818800097797329,0.2676238488710655
5883,-0.036811143278259933,0,122,788,3745,2.854502917137255,0.17058506567306195
433,1.6251087304400444,3,122,788,3392,4.22905608790405,0.36466263206906907
15561,-0.08180497322970087,3,122,788,3379,-0.5818800097797329,-0.4116476335149594
19158,0.23360903705729694,3,122,734,2996,2.1672263317538576,0.2676238488710655
9857,-0.05240197227074345,3,100,134,516,0.7926731609870624,0.5587401984650762
18726,-0.08661637338662118,3,39,537,2178,-0.5818800097797329,-0.6057251999109665
21566,-0.033690971660497816,3,21,360,1503,-0.5818800097797329,-0.31460885031695585
20298,-0.07645897305534498,3,28,87,316,-0.5818800097797329,-0.6057251999109665
4655,-0.08688367339533898,3,122,788,3672,-0.5818800097797329,-0.4116476335149594
7337,-0.0497289721835655,3,122,114,4088,-0.5818800097797329,-0.31460885031695585
1954,-0.0811576902205902,3,39,882,3743,1.4799497463704598,-0.21757006711895227
23072,-0.08447797331687881,3,122,788,3379,-0.5818800097797329,-0.6057251999109665
66,-0.07645897305534498,3,28,627,2556,0.7926731609870624,-0.508686416712963
22646,-0.08688367339533898,3,122,663,2655,-0.5818800097797329,-0.508686416712963
22404,-0.0830746482711104,3,15,820,3781,-0.5818800097797329,-0.508686416712963
2014,-0.08664072441741537,3,39,475,1904,-0.5818800097797329,-0.508686416712963
